weekday,date,study_time,study_decimal
4,4/23/2015,1:23,1.383333333
5,4/24/2015,3:08,3.133333333
6,4/25/2015,0:00,0
7,4/26/2015,0:08,0.133333333
1,4/27/2015,0:06,0.1
2,4/28/2015,0:16,0.266666667
3,4/29/2015,0:52,0.866666667
4,4/30/2015,0:00,0
5,5/1/2015,2:01,2.016666667
6,5/2/2015,0:00,0
7,5/3/2015,1:45,1.75
1,5/4/2015,4:00,4
2,5/5/2015,2:30,2.5
3,5/6/2015,0:50,0.833333333
4,5/7/2015,2:27,2.45
5,5/8/2015,0:00,0
6,5/9/2015,0:05,0.083333333
7,5/10/2015,2:35,2.583333333
1,5/11/2015,2:02,2.033333333
2,5/12/2015,2:30,2.5
3,5/13/2015,5:15,5.25
4,5/14/2015,0:00,0
5,5/15/2015,0:00,0
6,5/16/2015,0:00,0
7,5/17/2015,0:58,0.966666667
1,5/18/2015,5:50,5.833333333
2,5/19/2015,3:06,3.1
3,5/20/2015,1:30,1.5
4,5/21/2015,,0
5,5/22/2015,,0
6,5/23/2015,,0
7,5/24/2015,,0
1,5/25/2015,,0
2,5/26/2015,,0
3,5/27/2015,,0
4,5/28/2015,,0
5,5/29/2015,,0
6,5/30/2015,,0
7,5/31/2015,,0
1,6/1/2015,,0
2,6/2/2015,,0
3,6/3/2015,,0
4,6/4/2015,,0
5,6/5/2015,,0
6,6/6/2015,,0
7,6/7/2015,,0
1,6/8/2015,,0
2,6/9/2015,,0
3,6/10/2015,,0
4,6/11/2015,,0
5,6/12/2015,,0
6,6/13/2015,,0
7,6/14/2015,,0
1,6/15/2015,,0
2,6/16/2015,,0
3,6/17/2015,,0
4,6/18/2015,,0
5,6/19/2015,,0
6,6/20/2015,,0
7,6/21/2015,,0
1,6/22/2015,,0
2,6/23/2015,,0
3,6/24/2015,,0
4,6/25/2015,,0
5,6/26/2015,,0
6,6/27/2015,,0
7,6/28/2015,,0
1,6/29/2015,,0
2,6/30/2015,,0
3,7/1/2015,,0
4,7/2/2015,,0
5,7/3/2015,,0
6,7/4/2015,,0
7,7/5/2015,,0
1,7/6/2015,,0
2,7/7/2015,,0
3,7/8/2015,,0
4,7/9/2015,,0
5,7/10/2015,,0
6,7/11/2015,,0
7,7/12/2015,,0
1,7/13/2015,,0
2,7/14/2015,,0
3,7/15/2015,,0
4,7/16/2015,,0
5,7/17/2015,,0
6,7/18/2015,,0
7,7/19/2015,,0
1,7/20/2015,,0
2,7/21/2015,,0
3,7/22/2015,,0
4,7/23/2015,,0
5,7/24/2015,,0
6,7/25/2015,,0
7,7/26/2015,,0
1,7/27/2015,,0
2,7/28/2015,,0
3,7/29/2015,,0
4,7/30/2015,,0
5,7/31/2015,,0
6,8/1/2015,,0
7,8/2/2015,,0
1,8/3/2015,,0
2,8/4/2015,,0
3,8/5/2015,,0
4,8/6/2015,,0
5,8/7/2015,,0
6,8/8/2015,,0
7,8/9/2015,,0
1,8/10/2015,,0
2,8/11/2015,,0
3,8/12/2015,,0
4,8/13/2015,0:20,0.333333333
5,8/14/2015,0:00,0
6,8/15/2015,0:00,0
7,8/16/2015,2:37,2.616666667
1,8/17/2015,2:20,2.333333333
2,8/18/2015,2:16,2.266666667
3,8/19/2015,2:28,2.466666667
4,8/20/2015,1:53,1.883333333
5,8/21/2015,0:50,0.833333333
6,8/22/2015,0:00,0
7,8/23/2015,0:13,0.216666667
1,8/24/2015,1:41,1.683333333
2,8/25/2015,1:30,1.5
3,8/26/2015,1:50,1.833333333
4,8/27/2015,1:03,1.05
5,8/28/2015,3:00,3
6,8/29/2015,0:00,0
7,8/30/2015,0:20,0.333333333
1,8/31/2015,3:20,3.333333333
2,9/1/2015,3:20,3.333333333
3,9/2/2015,3:00,3
4,9/3/2015,0:12,0.2
5,9/4/2015,1:52,1.866666667
6,9/5/2015,0:00,0
7,9/6/2015,0:00,0
1,9/7/2015,0:00,0
2,9/8/2015,0:23,0.383333333
3,9/9/2015,1:36,1.6
4,9/10/2015,2:15,2.25
5,9/11/2015,1:41,1.683333333
6,9/12/2015,0:00,0
7,9/13/2015,0:00,0
1,9/14/2015,1:33,1.55
2,9/15/2015,0:55,0.916666667
3,9/16/2015,1:15,1.25
4,9/17/2015,3:32,3.533333333
5,9/18/2015,2:38,2.633333333
6,9/19/2015,0:00,0
7,9/20/2015,0:00,0
1,9/21/2015,2:09,2.15
2,9/22/2015,0:00,0
3,9/23/2015,0:18,0.3
4,9/24/2015,0:57,0.95
5,9/25/2015,1:24,1.4
6,9/26/2015,0:00,0
7,9/27/2015,0:32,0.533333333
1,9/28/2015,0:00,0
2,9/29/2015,0:16,0.266666667
3,9/30/2015,3:11,3.183333333
4,10/1/2015,0:00,0
5,10/2/2015,0:00,0
6,10/3/2015,0:00,0
7,10/4/2015,0:00,0
1,10/5/2015,0:35,0.583333333
2,10/6/2015,1:00,1
3,10/7/2015,1:30,1.5
4,10/8/2015,1:11,1.183333333
5,10/9/2015,2:34,2.566666667
6,10/10/2015,0:00,0
7,10/11/2015,0:02,0.033333333
1,10/12/2015,1:18,1.3
2,10/13/2015,2:15,2.25
3,10/14/2015,0:08,0.133333333
4,10/15/2015,0:25,0.416666667
5,10/16/2015,1:57,1.95
6,10/17/2015,0:00,0
7,10/18/2015,0:00,0
1,10/19/2015,0:48,0.8
2,10/20/2015,0:00,0
3,10/21/2015,2:19,2.316666667
4,10/22/2015,0:04,0.066666667
5,10/23/2015,0:57,0.95
6,10/24/2015,0:00,0
7,10/25/2015,0:08,0.133333333
1,10/26/2015,2:16,2.266666667
2,10/27/2015,2:08,2.133333333
3,10/28/2015,0:00,0
4,10/29/2015,0:14,0.233333333
5,10/30/2015,0:00,0
6,10/31/2015,0:00,0
7,11/1/2015,0:00,0
1,11/2/2015,0:14,0.233333333
2,11/3/2015,0:54,0.9
3,11/4/2015,0:00,0
4,11/5/2015,0:50,0.833333333
5,11/6/2015,0:00,0
6,11/7/2015,0:00,0
7,11/8/2015,0:00,0
1,11/9/2015,0:44,0.733333333
2,11/10/2015,2:28,2.466666667
3,11/11/2015,5:55,5.916666667
4,11/12/2015,2:26,2.433333333
5,11/13/2015,1:01,1.016666667
6,11/14/2015,0:00,0
7,11/15/2015,0:00,0
1,11/16/2015,0:56,0.933333333
2,11/17/2015,0:00,0
3,11/18/2015,2:07,2.116666667
4,11/19/2015,0:00,0
5,11/20/2015,1:56,1.933333333
6,11/21/2015,0:00,0
7,11/22/2015,0:08,0.133333333
1,11/23/2015,0:35,0.583333333
2,11/24/2015,0:41,0.683333333
3,11/25/2015,0:00,0
4,11/26/2015,0:00,0
5,11/27/2015,0:00,0
6,11/28/2015,0:00,0
7,11/29/2015,0:00,0
1,11/30/2015,3:10,3.166666667
2,12/1/2015,4:45,4.75
3,12/2/2015,3:43,3.716666667
4,12/3/2015,1:35,1.583333333
5,12/4/2015,0:44,0.733333333
6,12/5/2015,0:00,0
7,12/6/2015,2:30,2.5
1,12/7/2015,3:10,3.166666667
2,12/8/2015,3:20,3.333333333
3,12/9/2015,0:00,0
4,12/10/2015,1:35,1.583333333
5,12/11/2015,1:51,1.85
6,12/12/2015,0:00,0
7,12/13/2015,0:00,0
1,12/14/2015,0:24,0.4
2,12/15/2015,3:21,3.35
3,12/16/2015,6:51,6.85
4,12/17/2015,7:30,7.5
5,12/18/2015,,0
6,12/19/2015,,0
7,12/20/2015,,0
1,12/21/2015,,0
2,12/22/2015,,0
3,12/23/2015,,0
4,12/24/2015,,0
5,12/25/2015,,0
6,12/26/2015,,0
7,12/27/2015,,0
1,12/28/2015,,0
2,12/29/2015,,0
3,12/30/2015,,0
4,12/31/2015,,0
5,1/1/2016,,0
6,1/2/2016,,0
7,1/3/2016,,0
1,1/4/2016,,0
2,1/5/2016,2:02,2.033333333
3,1/6/2016,1:45,1.75
4,1/7/2016,1:22,1.366666667
5,1/8/2016,0:43,0.716666667
6,1/9/2016,4:00,4
7,1/10/2016,0:00,0
1,1/11/2016,2:08,2.133333333
2,1/12/2016,0:59,0.983333333
3,1/13/2016,0:46,0.766666667
4,1/14/2016,2:50,2.833333333
5,1/15/2016,2:30,2.5
6,1/16/2016,0:00,0
7,1/17/2016,0:00,0
1,1/18/2016,1:14,1.233333333
2,1/19/2016,0:00,0
3,1/20/2016,2:30,2.5
4,1/21/2016,0:00,0
5,1/22/2016,0:00,0
6,1/23/2016,0:00,0
7,1/24/2016,1:26,1.433333333
1,1/25/2016,1:00,1
2,1/26/2016,1:05,1.083333333
3,1/27/2016,0:00,0
4,1/28/2016,1:00,1
5,1/29/2016,0:00,0
6,1/30/2016,0:00,0
7,1/31/2016,1:45,1.75
1,2/1/2016,1:30,1.5
2,2/2/2016,2:00,2
3,2/3/2016,2:04,2.066666667
4,2/4/2016,1:26,1.433333333
5,2/5/2016,0:00,0
6,2/6/2016,0:00,0
7,2/7/2016,6:42,6.7
1,2/8/2016,0:58,0.966666667
2,2/9/2016,2:00,2
3,2/10/2016,2:00,2
4,2/11/2016,1:15,1.25
5,2/12/2016,0:00,0
6,2/13/2016,0:00,0
7,2/14/2016,0:00,0
1,2/15/2016,1:15,1.25
2,2/16/2016,1:05,1.083333333
3,2/17/2016,0:16,0.266666667
4,2/18/2016,0:53,0.883333333
5,2/19/2016,0:25,0.416666667
6,2/20/2016,0:00,0
7,2/21/2016,3:15,3.25
1,2/22/2016,3:11,3.183333333
2,2/23/2016,1:07,1.116666667
3,2/24/2016,1:25,1.416666667
4,2/25/2016,3:34,3.566666667
5,2/26/2016,1:58,1.966666667
6,2/27/2016,0:00,0
7,2/28/2016,1:30,1.5
1,2/29/2016,0:29,0.483333333
2,3/1/2016,0:45,0.75
3,3/2/2016,1:09,1.15
4,3/3/2016,0:40,0.666666667
5,3/4/2016,0:43,0.716666667
6,3/5/2016,0:00,0
7,3/6/2016,0:45,0.75
1,3/7/2016,1:30,1.5
2,3/8/2016,0:25,0.416666667
3,3/9/2016,3:54,3.9
4,3/10/2016,2:40,2.666666667
5,3/11/2016,1:50,1.833333333
6,3/12/2016,0:47,0.783333333
7,3/13/2016,0:00,0
1,3/14/2016,0:00,0
2,3/15/2016,0:00,0
3,3/16/2016,0:00,0
4,3/17/2016,0:00,0
5,3/18/2016,0:00,0
6,3/19/2016,0:00,0
7,3/20/2016,0:00,0
1,3/21/2016,2:36,2.6
2,3/22/2016,0:00,0
3,3/23/2016,1:26,1.433333333
4,3/24/2016,1:05,1.083333333
5,3/25/2016,0:00,0
6,3/26/2016,0:00,0
7,3/27/2016,0:00,0
1,3/28/2016,1:50,1.833333333
2,3/29/2016,1:52,1.866666667
3,3/30/2016,1:47,1.783333333
4,3/31/2016,2:55,2.916666667
5,4/1/2016,2:07,2.116666667
6,4/2/2016,0:00,0
7,4/3/2016,0:17,0.283333333
1,4/4/2016,0:38,0.633333333
2,4/5/2016,2:04,2.066666667
3,4/6/2016,1:54,1.9
4,4/7/2016,0:24,0.4
5,4/8/2016,1:23,1.383333333
6,4/9/2016,0:00,0
7,4/10/2016,0:00,0
1,4/11/2016,0:26,0.433333333
2,4/12/2016,0:45,0.75
3,4/13/2016,1:15,1.25
4,4/14/2016,1:45,1.75
5,4/15/2016,0:56,0.933333333
6,4/16/2016,0:00,0
7,4/17/2016,0:00,0
1,4/18/2016,1:25,1.416666667
2,4/19/2016,1:50,1.833333333
3,4/20/2016,1:48,1.8
4,4/21/2016,2:54,2.9
5,4/22/2016,0:00,0
6,4/23/2016,0:00,0
7,4/24/2016,0:00,0
1,4/25/2016,1:59,1.983333333
2,4/26/2016,1:32,1.533333333
3,4/27/2016,0:00,0
4,4/28/2016,0:00,0
