weekday,date,study_time,study_decimal
4,10/11/2018,4:36,4.60
5,10/12/2018,6:00,6.00
6,10/13/2018,0:30,0.50
7,10/14/2018,0:00,0.00
1,10/15/2018,7:00,7.00
2,10/16/2018,12:30,12.50
3,10/17/2018,5:03,5.05
4,10/18/2018,4:43,4.72
5,10/19/2018,5:54,5.90
6,10/20/2018,0:43,0.72
7,10/21/2018,0:00,0.00
1,10/22/2018,4:15,4.25
2,10/23/2018,9:00,9.00
3,10/24/2018,6:00,6.00
4,10/25/2018,9:40,9.67
5,10/26/2018,6:11,6.18
6,10/27/2018,0:00,0.00
7,10/28/2018,0:00,0.00
1,10/29/2018,8:30,8.50
2,10/30/2018,6:00,6.00
3,10/31/2018,4:56,4.93
4,11/1/2018,3:00,3.00
5,11/2/2018,1:43,1.72
6,11/3/2018,0:45,0.75
7,11/4/2018,0:00,0.00
1,11/5/2018,6:12,6.20
2,11/6/2018,5:52,5.87
3,11/7/2018,4:47,4.78
4,11/8/2018,2:30,2.50
5,11/9/2018,6:23,6.38
6,11/10/2018,0:00,0.00
7,11/11/2018,0:15,0.25
1,11/12/2018,8:22,8.37
2,11/13/2018,9:58,9.97
3,11/14/2018,4:00,4.00
4,11/15/2018,13:00,13.00
5,11/16/2018,5:52,5.87
6,11/17/2018,0:00,0.00
7,11/18/2018,0:00,0.00
1,11/19/2018,0:00,0.00
2,11/20/2018,0:00,0.00
3,11/21/2018,0:00,0.00
4,11/22/2018,0:00,0.00
5,11/23/2018,0:00,0.00
6,11/24/2018,0:00,0.00
7,11/25/2018,0:00,0.00
1,11/26/2018,4:00,4.00
2,11/27/2018,3:13,3.22
3,11/28/2018,2:46,2.77
4,11/29/2018,6:00,6.00
5,11/30/2018,5:56,5.93
6,12/1/2018,1:00,1.00
7,12/2/2018,0:00,0.00
1,12/3/2018,7:00,7.00
2,12/4/2018,6:30,6.50
3,12/5/2018,7:53,7.88
4,12/6/2018,9:00,9.00
5,12/7/2018,7:27,7.45
6,12/8/2018,5:33,5.55
7,12/9/2018,10:55,10.92
1,12/10/2018,12:05,12.08
2,12/11/2018,12:00,12.00
3,12/12/2018,4:30,4.50
4,12/13/2018,,0.00
5,12/14/2018,,0.00
6,12/15/2018,,0.00
7,12/16/2018,,0.00
1,12/17/2018,,0.00
2,12/18/2018,,0.00
3,12/19/2018,,0.00
4,12/20/2018,,0.00
5,12/21/2018,,0.00
6,12/22/2018,,0.00
7,12/23/2018,,0.00
1,12/24/2018,,0.00
2,12/25/2018,,0.00
3,12/26/2018,,0.00
4,12/27/2018,,0.00
5,12/28/2018,,0.00
6,12/29/2018,,0.00
7,12/30/2018,,0.00
1,12/31/2018,,0.00
2,1/1/2019,,0.00
3,1/2/2019,,0.00
4,1/3/2019,,0.00
5,1/4/2019,,0.00
6,1/5/2019,,0.00
7,1/6/2019,,0.00
1,1/7/2019,,0.00
2,1/8/2019,,0.00
3,1/9/2019,,0.00
4,1/10/2019,,0.00
5,1/11/2019,,0.00
6,1/12/2019,,0.00
7,1/13/2019,,0.00
1,1/14/2019,,0.00
2,1/15/2019,,0.00
3,1/16/2019,,0.00
4,1/17/2019,,0.00
5,1/18/2019,,0.00
6,1/19/2019,,0.00
7,1/20/2019,,0.00
1,1/21/2019,,0.00
2,1/22/2019,3:30,3.50
3,1/23/2019,5:12,5.20
4,1/24/2019,4:10,4.17
5,1/25/2019,0:55,0.92
6,1/26/2019,0:00,0.00
7,1/27/2019,0:00,0.00
1,1/28/2019,3:00,3.00
2,1/29/2019,4:02,4.03
3,1/30/2019,6:11,6.18
4,1/31/2019,7:00,7.00
5,2/1/2019,2:40,2.67
6,2/2/2019,0:00,0.00
7,2/3/2019,0:00,0.00
1,2/4/2019,3:30,3.50
2,2/5/2019,4:15,4.25
3,2/6/2019,6:20,6.33
4,2/7/2019,3:00,3.00
5,2/8/2019,4:00,4.00
6,2/9/2019,0:00,0.00
7,2/10/2019,0:00,0.00
1,2/11/2019,9:31,9.52
2,2/12/2019,4:05,4.08
3,2/13/2019,1:35,1.58
4,2/14/2019,3:33,3.55
5,2/15/2019,6:36,6.60
6,2/16/2019,0:00,0.00
7,2/17/2019,0:00,0.00
1,2/18/2019,3:18,3.30
2,2/19/2019,4:04,4.07
3,2/20/2019,7:00,7.00
4,2/21/2019,4:57,4.95
5,2/22/2019,4:30,4.50
6,2/23/2019,0:00,0.00
7,2/24/2019,0:00,0.00
1,2/25/2019,1:48,1.80
2,2/26/2019,2:48,2.80
3,2/27/2019,5:31,5.52
4,2/28/2019,1:18,1.30
5,3/1/2019,5:02,5.03
6,3/2/2019,0:00,0.00
7,3/3/2019,0:00,0.00
1,3/4/2019,3:37,3.62
2,3/5/2019,3:59,3.98
3,3/6/2019,4:07,4.12
4,3/7/2019,7:58,7.97
5,3/8/2019,8:01,8.02
6,3/9/2019,0:00,0.00
7,3/10/2019,4:44,4.73
1,3/11/2019,4:15,4.25
2,3/12/2019,8:23,8.38
3,3/13/2019,0:49,0.82
4,3/14/2019,0:00,0.00
5,3/15/2019,0:00,0.00
6,3/16/2019,0:00,0.00
7,3/17/2019,0:00,0.00
1,3/18/2019,4:30,4.50
2,3/19/2019,5:00,5.00
3,3/20/2019,5:16,5.27
4,3/21/2019,4:15,4.25
5,3/22/2019,0:35,0.58
6,3/23/2019,0:00,0.00
7,3/24/2019,0:00,0.00
1,3/25/2019,0:00,0.00
2,3/26/2019,0:00,0.00
3,3/27/2019,0:00,0.00
4,3/28/2019,0:00,0.00
5,3/29/2019,0:00,0.00
6,3/30/2019,0:00,0.00
7,3/31/2019,0:00,0.00
1,4/1/2019,0:00,0.00
2,4/2/2019,4:03,4.05
3,4/3/2019,2:00,2.00
4,4/4/2019,4:39,4.65
5,4/5/2019,2:53,2.88
6,4/6/2019,0:00,0.00
7,4/7/2019,0:55,0.92
1,4/8/2019,6:00,6.00
2,4/9/2019,3:00,3.00
3,4/10/2019,1:30,1.50
4,4/11/2019,4:00,4.00
5,4/12/2019,1:23,1.38
6,4/13/2019,0:00,0.00
7,4/14/2019,0:00,0.00
1,4/15/2019,7:30,7.50
2,4/16/2019,8:43,8.72
3,4/17/2019,3:00,3.00
4,4/18/2019,5:30,5.50
5,4/19/2019,4:00,4.00
6,4/20/2019,0:00,0.00
7,4/21/2019,0:00,0.00
1,4/22/2019,11:46,11.77
2,4/23/2019,2:55,2.92
3,4/24/2019,0:50,0.83
4,4/25/2019,5:22,5.37
5,4/26/2019,8:00,8.00
6,4/27/2019,0:00,0.00
7,4/28/2019,0:00,0.00
